"unique_id","id","Time","Sample","Value"
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",7.333334,"Cell_1",1.144641
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",7.5,"Cell_1",1.143777
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",7.666667,"Cell_1",1.130151
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",7.833334,"Cell_1",1.147083
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",8,"Cell_1",1.152384
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",8.166667,"Cell_1",1.140002
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",8.333333,"Cell_1",1.144282
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",8.5,"Cell_1",1.147437
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",8.666667,"Cell_1",1.149537
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",8.833333,"Cell_1",1.135268
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",9,"Cell_1",1.142808
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",9.166667,"Cell_1",1.125733
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",9.333333,"Cell_1",1.13525
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",9.5,"Cell_1",1.13807
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",9.666667,"Cell_1",1.152589
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",9.833333,"Cell_1",1.137014
"Fig7_RhoA_S1P-control_Cell_1","Fig7_RhoA_S1P-control",10,"Cell_1",1.132324
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",0,"Cell_1",0.9924669
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",0.1666667,"Cell_1",1.005769
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",0.3333333,"Cell_1",1.004898
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",0.5,"Cell_1",1.006388
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",0.6666667,"Cell_1",0.9905214
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",0.8333333,"Cell_1",1.009343
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",1,"Cell_1",0.9834772
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",1.166667,"Cell_1",1.002169
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",1.333333,"Cell_1",1.005448
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",1.5,"Cell_1",1.012042
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",1.666667,"Cell_1",0.9986554
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",1.833333,"Cell_1",1.003113
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",2,"Cell_1",1.019889
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",2.166667,"Cell_1",1.025836
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",2.333333,"Cell_1",1.025314
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",2.5,"Cell_1",1.021949
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",2.666667,"Cell_1",1.053277
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",2.833333,"Cell_1",1.049416
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",3,"Cell_1",1.026509
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",3.166667,"Cell_1",1.024973
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",3.333333,"Cell_1",1.017488
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",3.5,"Cell_1",1.006822
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",3.666667,"Cell_1",1.013926
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",3.833333,"Cell_1",1.022996
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",4,"Cell_1",1.01096
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",4.166667,"Cell_1",1.009386
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",4.333334,"Cell_1",1.006751
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",4.5,"Cell_1",1.012512
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",4.666667,"Cell_1",1.010752
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",4.833334,"Cell_1",1.018857
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",5,"Cell_1",1.026566
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",5.166667,"Cell_1",0.9995105
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",5.333334,"Cell_1",1.027768
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",5.5,"Cell_1",0.9911141
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",5.666667,"Cell_1",1.006891
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",5.833334,"Cell_1",1.012877
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",6,"Cell_1",0.9977633
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",6.166667,"Cell_1",1.008193
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",6.333334,"Cell_1",1.023805
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",6.5,"Cell_1",1.022582
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",6.666667,"Cell_1",1.006565
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",6.833334,"Cell_1",1.015792
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",7,"Cell_1",1.01744
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",7.166667,"Cell_1",0.9997674
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",7.333334,"Cell_1",1.036568
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",7.5,"Cell_1",1.016926
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",7.666667,"Cell_1",1.02934
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",7.833334,"Cell_1",1.047703
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",8,"Cell_1",1.033115
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",8.166667,"Cell_1",1.014777
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",8.333333,"Cell_1",1.015948
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",8.5,"Cell_1",1.03172
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",8.666667,"Cell_1",1.008814
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",8.833333,"Cell_1",1.010225
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",9,"Cell_1",1.027917
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",9.166667,"Cell_1",1.010114
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",9.333333,"Cell_1",1.046054
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",9.5,"Cell_1",1.030565
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",9.666667,"Cell_1",1.044129
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",9.833333,"Cell_1",1.034041
"Fig7_RhoA_S1P-RGS_Cell_1","Fig7_RhoA_S1P-RGS",10,"Cell_1",NA
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",0,"Cell_2",0.9959251
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",0.1666667,"Cell_2",0.9939954
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",0.3333333,"Cell_2",1.001803
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",0.5,"Cell_2",1.002384
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",0.6666667,"Cell_2",1.005983
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",0.8333333,"Cell_2",1.006645
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",1,"Cell_2",1.003872
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",1.166667,"Cell_2",1.014657
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",1.333333,"Cell_2",1.009854
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",1.5,"Cell_2",1.008119
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",1.666667,"Cell_2",1.004817
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",1.833333,"Cell_2",1.013075
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",2,"Cell_2",1.042653
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",2.166667,"Cell_2",1.132455
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",2.333333,"Cell_2",1.160276
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",2.5,"Cell_2",1.163595
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",2.666667,"Cell_2",1.159398
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",2.833333,"Cell_2",1.150345
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",3,"Cell_2",1.154641
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",3.166667,"Cell_2",1.142121
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",3.333333,"Cell_2",1.14275
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",3.5,"Cell_2",1.116242
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",3.666667,"Cell_2",1.113907
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",3.833333,"Cell_2",1.115709
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",4,"Cell_2",1.114385
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",4.166667,"Cell_2",1.111854
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",4.333334,"Cell_2",1.088879
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",4.5,"Cell_2",1.088013
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",4.666667,"Cell_2",1.094492
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",4.833334,"Cell_2",1.098882
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",5,"Cell_2",1.080148
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",5.166667,"Cell_2",1.091056
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",5.333334,"Cell_2",1.07963
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",5.5,"Cell_2",1.081036
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",5.666667,"Cell_2",1.079069
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",5.833334,"Cell_2",1.082535
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",6,"Cell_2",1.0768
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",6.166667,"Cell_2",1.061949
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",6.333334,"Cell_2",1.077057
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",6.5,"Cell_2",1.066735
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",6.666667,"Cell_2",1.076429
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",6.833334,"Cell_2",1.067547
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",7,"Cell_2",1.073895
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",7.166667,"Cell_2",1.064527
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",7.333334,"Cell_2",1.068535
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",7.5,"Cell_2",1.076852
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",7.666667,"Cell_2",1.058755
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",7.833334,"Cell_2",1.074395
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",8,"Cell_2",1.075596
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",8.166667,"Cell_2",1.068808
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",8.333333,"Cell_2",1.07552
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",8.5,"Cell_2",1.071796
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",8.666667,"Cell_2",1.072139
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",8.833333,"Cell_2",1.066471
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",9,"Cell_2",1.066637
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",9.166667,"Cell_2",1.052214
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",9.333333,"Cell_2",1.060065
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",9.5,"Cell_2",1.059519
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",9.666667,"Cell_2",1.072993
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",9.833333,"Cell_2",1.065878
"Fig7_RhoA_S1P-control_Cell_2","Fig7_RhoA_S1P-control",10,"Cell_2",1.058255
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",0,"Cell_2",0.9963601
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",0.1666667,"Cell_2",1.012239
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",0.3333333,"Cell_2",1.007423
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",0.5,"Cell_2",0.996642
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",0.6666667,"Cell_2",0.9873679
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",0.8333333,"Cell_2",1.017769
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",1,"Cell_2",0.9727737
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",1.166667,"Cell_2",0.9839113
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",1.333333,"Cell_2",1.00314
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",1.5,"Cell_2",1.01001
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",1.666667,"Cell_2",0.9837073
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",1.833333,"Cell_2",1.016773
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",2,"Cell_2",0.9849207
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",2.166667,"Cell_2",1.019521
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",2.333333,"Cell_2",1.017661
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",2.5,"Cell_2",1.032979
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",2.666667,"Cell_2",1.052429
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",2.833333,"Cell_2",1.048584
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",3,"Cell_2",1.014325
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",3.166667,"Cell_2",1.014303
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",3.333333,"Cell_2",1.011745
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",3.5,"Cell_2",0.9951622
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",3.666667,"Cell_2",1.00741
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",3.833333,"Cell_2",1.034171
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",4,"Cell_2",1.003061
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",4.166667,"Cell_2",1.016214
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",4.333334,"Cell_2",1.009824
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",4.5,"Cell_2",1.012622
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",4.666667,"Cell_2",1.002226
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",4.833334,"Cell_2",1.019956
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",5,"Cell_2",1.033519
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",5.166667,"Cell_2",1.009323
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",5.333334,"Cell_2",1.043761
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",5.5,"Cell_2",1.00176
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",5.666667,"Cell_2",1.008245
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",5.833334,"Cell_2",1.026735
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",6,"Cell_2",0.9908772
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",6.166667,"Cell_2",1.023881
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",6.333334,"Cell_2",1.023478
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",6.5,"Cell_2",1.037594
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",6.666667,"Cell_2",0.9927132
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",6.833334,"Cell_2",1.013576
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",7,"Cell_2",1.033311
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",7.166667,"Cell_2",1.001544
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",7.333334,"Cell_2",1.047925
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",7.5,"Cell_2",1.007553
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",7.666667,"Cell_2",1.024259
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",7.833334,"Cell_2",1.061749
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",8,"Cell_2",1.040157
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",8.166667,"Cell_2",1.017983
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",8.333333,"Cell_2",1.02587
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",8.5,"Cell_2",1.030297
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",8.666667,"Cell_2",0.9999158
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",8.833333,"Cell_2",1.005323
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",9,"Cell_2",1.044861
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",9.166667,"Cell_2",1.011488
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",9.333333,"Cell_2",1.062384
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",9.5,"Cell_2",1.036642
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",9.666667,"Cell_2",1.043241
"Fig7_RhoA_S1P-RGS_Cell_2","Fig7_RhoA_S1P-RGS",9.833333,"Cell_2",1.039632
